review,talks_about
"easily best sauvignon blanc date. beautiful array flavors nose lemon, apple, honey, peach citrus. great balance acidity slight buttery flavor mid palate. smooth medium finish. definitely worth again.",value for money
"excellent, mockingbird inn?",value for money
absolutely incredible. one best sauvignon blancs ever pleasure taste,taste
reported nytimes. try,other
"great. much different sauv blancs since aged oak. days open fridge, way better!",other
"nice, balanced, svb. enough apple citrus, light grass, enough flavor enjoy.",taste
"oak stone first, followed little peach. finishes apricot green apple. good bottle price!",value for money
"stunning, delicious, sophisticated, incomparable sb's. welcome addition wonderful world sb's.",taste
fantastic expression napa sav blanc. incredible peach undertones went well grilled peach avo salad,taste
"think first cali sauvignon blanc. fruity, honeysuckle, maybe little oily? slightly sweet.",taste
one best sauv blancs made.. accolades.. smooth crisp front memorable finish..,taste
"another bottle another great dinner soft shell crabs. drink wine. great balance, fruit verve.",other
clean pear front beautiful subtle butter spicy finish. one better sav blancs,taste
"smooth slightly sweet pear, apple, mango notes. medium bodied balanced. pairs well cheese.",food combinations
"honey, pear grilled pineapple nose. earthy palate pear, mild grapefruit green apple.",taste
one better sauvignon blancs ive tasted. pear apple palate good mix minerality butter.,taste
"dry, high acidity, high alcohol, medium bodied. grass, vanilla liquorice palate. good quality!",value for money
crisp tart flavors upfront nice sweet pear finish. aromas wild flowers honey suckle. exceptional wine!,taste
dry. fruit forward bad linger palate. bought bottle tasting enjoy much now.,taste
"love wine. medium full bodied, low sweetness, medium high acidity. melon citrus, mmmm!!",taste
still favorite.. deep color pleasant tones pear. good enough match spicy pork dish! melon,taste
mainly honeydew melon pear overtones. enjoyable substantial popular sauv blancs.,taste
grapefruit lime mineral notes. lite residual sugar mild smooth med plus acid med complexity easy drinking good food wine.,taste
"gorgeous! strong gooseberry nose, oh ripeness fruit shows peaches tropical fruit! excellent!",taste
pear melon clean drink. almost like german white remember. maybe pepper finish. id drink,taste
simply lovely wine thank kelly kyle thoughtfully providing well worth trying!,value for money
"super sweet kiwi, pineapple, white peaches. super easy drinking delish! refreshing lovely",food combinations
candied apricot gives way peach finish. absolutely delightfully delicious bacon wrapped sea scallops.,food combinations
amazing fruit notes apple nose. french oak gives little twist texture. merry never disappoints!,taste
"great sauv blanc price. smooth well balanced banana apple hints, seems lower acidity",value for money
"crisp, hint minerality cream flavor citrus, peach flowers nose. nice wine.",taste
"wow. awesome wine, passion fruit, vanilla, incredibly soft tongue. paid 33 well worth it.",value for money
fruity creamy smooth hints pear sweet apple. paired really well japanese food. enjoyed much.,food combinations
floral nose. sweet. peaches. soft mouth. bought vineyard educational tasting.,taste
delicious! kind syrupy sweet. strong grape flavor. unlike new zealand sauvignon blanca,taste
"golden color floral green apple aroma, fruity little creamy, taste honey hint caramel, nice",taste
delicious. complex. nice crisp apple long finish. obama cases maybe inauguration.,taste
love this! pineapple pear set smooth butter. fantastic expression sauvignon blanc welcome departure acid bomb.,taste
"great sauvignon blanc, one best ive tasted green apple honey flavors palate.",taste
frutier side sbs. great taste melon fills mouth. awesome bottle design well,taste
"pale pale straw, pear sweetness nose continues palate. almost tastes like late harvest",taste
"saw creamy pear comment feel like spot description, good first impression. 40",taste
"wine balanced, smooth, beautiful. round melon, mineral, pear. delicious. perfect sauvignon blanc",taste
"definitely tropical fruit forward, flavorful sb. full body concentration stand rich shrimp lobster.",taste
"pleasant scent, light pear nose. pear, hints earth finish green apple tongue. light mildly bright.",taste
"strange sauv blanc, creamy rich peppery finish. hint sweetness. would sworn viognier.",other
"good sauvignon blanc, american style fuller fruitier europeans. balance good though.",taste
"dream. almost creamy finish, depth one would expect sauv. could drink day!",taste
"hot vintage, light colour golden green flecks. nose white pineapple, sticks nose viscous lemon oil way. savoury mixed green herbs grilled peaches. palate equally complex attack melon creamy kiwi. finish salty mineral focused slight sweet lift. mouth feel particularly nose grow breadth weight opens. truly sublime pairing grilled asparagus, sauce gribiche, ham, parmesan lemon oil.",taste
